id,title,company,skills,location,salary_min,salary_max,type,age_preference,experience_required,education_required,description,category,source,job_url,scraped_at
scraped_vietnamworks_algolia_06347,Chuyên Viên Thiết Kế Đồ Họa,Công Ty Cổ Phần Elmich,Marketing,Hà Nội,12000000,15000000,full-time,any,3,university,"Mô tả công việc: 1. Thực hiện hoàn thiện ảnh profile về thông tin sản phẩm (50%) • Tạo ảnh bối cảnh sản phẩm • Thiết kế ảnh profile giới thiệu sản phẩm theo kịch bản có sẵn. • Hậu... Yêu cầu: YÊU CẦU CÔNG VIỆC • Nam/Nữ tuổi từ 25-35 tuổi • Có ít nhất 3 năm kinh nghiệm thiết kế đồ họa • Sáng tạo, thẩm mỹ tốt, có trách nhiệm, chủ động trong công việc, khả năng chịu áp lực tốt. • Tốt nghiệp chuyên ngành thiết kế (hoặc trường Mỹ thuật công nghiệp, FPT Arena chuyên...",sales,VietnamWorks_Algolia,https://www.vietnamworks.com/chuyen-vien-thiet-ke-djo-hoa-2057819-jv,2026-05-26T12:56:54.165184
scraped_vietnamworks_algolia_07623,Purchaser,I. Schroeder KG (GmbH & Co),Communication,Hồ Chí Minh,9600000,18000000,full-time,any,5,university,"• Identify and develop qualified seafood suppliers across Vietnam, particularly for frozen items such as shrimp, pangasius, squid, octopus, shellfish, etc. • Negotiate price, payment terms, delivery schedules, and contractual conditions to meet company objectives. • Analyze market trends, raw material availability, and pricing forecasts to make timely and cost-effective purchasing decisions. • Collaborate closely with the... Yêu cầu: • Bachelor’s degree in relevant fields (International business, Business administration, Supply Chain Management, etc). • Have as least 5 years’ experience in seafood business. • Strong network of seafood suppliers, especially in key sourcing areas (Mekong Delta, Central Vietnam, etc.). • Knowledge of seafood production, export procedures, food safety regulations, and global quality standards. • Excellent communication, negotiation,...",other,VietnamWorks_Algolia,https://www.vietnamworks.com/purchaser-2056531-jv,2026-05-26T12:56:57.619532
scraped_vietnamworks_algolia_00057,Accounting & Tax Associate (Client Service),Dezan Shira & Cộng Sự Việt Nam,English,Đà Nẵng,8400000,15750000,full-time,any,2,university,"• Handle daily accounting works and full accounting, and financial works for assigned clients; • Prepare monthly, quarterly and annual tax reports including: Corporate Income Tax, Value Added Tax, Foreign Contractor’s Tax, and others as per set deadlines; • Prepare advisory reports of tax issues, finance and accounting matters when... Yêu cầu: • Minimum 2-3 year of relevant professional experience preferably related industries. • A bachelor’s degree with an emphasis in accounting would be preferable. • Excellent interpersonal and communications skills including strong written and verbal skills. • Excellent command of written and spoken English. • Good command of accounting...",accounting,VietnamWorks_Algolia,https://www.vietnamworks.com/accounting-and-tax-associate-client-service-2027210-jv,2026-05-25T19:46:09.139381
scraped_vietnamworks_algolia_00143,Trưởng Nhóm Bảo Trì,Công Ty Cổ Phần Tập Đoàn Sunhouse,,Bình Dương,600000000,800000000,full-time,any,2,high,"1. Quản lý công tác bảo trì – bảo dưỡng. - Lập kế hoạch bảo trì định kỳ (PM) cho toàn bộ máy móc thiết bị trong nhà máy. - Tổ chức thực hiện, giám sát và đánh giá hiệu quả bảo trì. - Đảm bảo máy móc hoạt động ổn định, giảm thiểu thời gian dừng máy. 2. Sửa chữa & xử... Yêu cầu: 1. Trình độ học vấn: Cao đẳng trở lên (Cơ khí/Tự động hóa/Điện công nghiệp) 2. Chuyên môn: Cơ khí / Điện/ Điện tử 3. Kinh nghiệm: Ít nhất 2 năm tại vị trí Nhóm trưởng Bảo trì 4. Kiến thức - Hiểu về hệ thống máy móc sản xuất - Kiến thức điện – cơ – khí – tự động hóa cơ bản...",other,VietnamWorks_Algolia,https://www.vietnamworks.com/truong-nhom-bao-tri--2038153-jv,2026-05-25T19:37:23.923773
scraped_mywork_00281,Nhân Viên Tư Vấn / Kinh Doanh Tại Bình Thạnh - Lương Cơ Bản Từ 10 Triệu Không Yêu Cầu Kinh Nghiệm,Công Ty Cổ Phần Đầu Tư Và Dịch Vụ A&t Services,Kinh Doanh,Hồ Chí Minh,50000000,200000000,full-time,any,1,high,Nhân Viên Tư Vấn / Kinh Doanh Tại Bình Thạnh - Lương Cơ Bản Từ 10 Triệu Không Yêu Cầu Kinh Nghiệm,bao_ve,MyWork,https://mywork.com.vn/viec-lam-nhan-vien-tu-van-kinh-doanh-tai-binh-thanh-luong-co-ban-tu-10-trieu-khong-yeu-cau-kinh-nghiem-job-200831795.html,2026-05-25T19:54:42.934171
scraped_vietnamworks_algolia_05561,Quản Lý Bộ Phận Tư Vấn và Phản Hồi Khách Hàng,Công Ty Cổ Phần Tập Đoàn Masterise,Kinh doanh|Cơ khí,Hưng Yên,8000000,15000000,full-time,any,0,university,"- Chịu trách nhiệm quản lý vận hành hằng ngày của đội ngũ Contact Center, đảm bảo các yêu cầu của khách hàng được tiếp nhận, phản hồi và xử lý đúng tiêu chuẩn chất lượng dịch vụ, thời hạn SLA và định hướng trải nghiệm khách hàng của Công ty. - Đóng vai trò... Yêu cầu: - Tốt nghiệp Đại học trở lên các chuyên ngành Quản trị Kinh doanh, Dịch vụ Khách hàng, Tài chính hoặc các ngành liên quan. - Có tối thiểu 4–6 năm kinh nghiệm trong lĩnh vực Chăm Sóc Khách hàng hoặc Trải nghiệm khách hàng trong lĩnh vực bất động sản, lĩnh vực dịch vụ...",skilled,VietnamWorks_Algolia,https://www.vietnamworks.com/quan-ly-bo-phan-tu-van-va-phan-hoi-khach-hang-2058750-jv,2026-05-26T12:56:52.451914
scraped_vietnamworks_algolia_04615,SMEs Banking Staff,Ngân Hàng Công Nghiệp Hàn Quốc- Chi Nhánh Hà Nội ( IBK Hanoi Branch),English|Korean|Excel|Word|Powerpoint,Hà Nội,9200000,17250000,full-time,any,1,university,"- Banking operation, SMEs and other banking services, duties including: • Handling customers’ application for account / loan opening, bank card, remittance, transfer, cash withdrawal & deposits, etc... • Dealing with incoming telegraphic transfer, e-banking • Acting as first line of defense in Anti-Money laundering (KYC, Transaction monitoring, Sanction filtering) • Ensuring transactions are completed with customer’s satisfaction... Yêu cầu: • University degree (copy of the transcript is required to enclose with CV) • Good command of MS Office (Excel, Word, PowerPoint...) and familiar with working on PC • Ability to communicate fluently in English or Korean • 1~2 years of banking experience is preferred (not mandatory required) • Ability...",other,VietnamWorks_Algolia,https://www.vietnamworks.com/smes-banking-staff-2050964-jv,2026-05-26T00:31:27.717926
scraped_vietnamworks_algolia_04839,People Experience Advisor (HRBP) - Commercial,Mondelēz Kinh Đô Việt Nam,Power Bi|Communication|English|Microsoft Office|Excel,Hưng Yên,8000000,15000000,full-time,any,4,university,"Business Partnering: • Support and advise the Line Managers in HR processes, training, recruitment, promotion, discipline, ... • Partner with Line Managers to provide the good employee’s experience in all employee cycle’s moments Performance Management: Implement performance management process through coaching and partnering with Line Managers within the consistent guidance of Mondelez. Training and development: Ensure successful delivery and implementation of... Yêu cầu: • At least 4 years of experience in HR with a strong customer service orientation • Education/Certifications: Bachelor's degree • Proficient in Microsoft Office (Power Point, Excel...); Power BI • Proficient in English • Partnering, planning, communication & data analysis skills • Experience working to deadlines with strong prioritization skills • Meticulous attention to detail • Ability to work under...",other,VietnamWorks_Algolia,https://www.vietnamworks.com/people-experience-advisor-hrbp-commercial-2047023-jv,2026-05-26T00:31:28.259231
scraped_vietnamworks_algolia_00798,Quản Lý Nghiệp Vụ Hệ Thống Kho,EuP Group,Kế toán|Kho vận,Hà Nội,20000000,30000000,full-time,<45,0,college,"1. MÔ TẢ CÔNG VIỆC • Quản trị hệ thống kho toàn công ty + Xây dựng và chuẩn hóa sơ đồ tổ chức, quy trình quản lý kho (nhập – xuất – tồn – kiểm kê) + Phối hợp với các trưởng bộ phận kho ở các nhà máy triển khai và áp dụng quy trình + Kiểm soát việc tuân... Yêu cầu: 2. YÊU CẦU ỨNG VIÊN: • Tốt nghiệp Đại học các ngành: Logistics & Chuỗi cung ứng, Quản trị kinh doanh. • Kinh nghiệm: Từ 3-5 năm vị trí quản lý Kho: Đã làm ở công ty có mô hình nhiều nhà máy • Kỹ năng giao tiếp và tuy duy Logic • Làm việc tại VP Hà Nội: A66, khu đấu giá...",accounting,VietnamWorks_Algolia,https://www.vietnamworks.com/quan-ly-nghiep-vu-he-thong-kho-2057269-jv,2026-05-25T23:16:54.518374
scraped_vietnamworks_algolia_07966,Kế Toán Kho Thủ Kho,Rugby School Hanoi,Kế toán|Kho vận,Hà Nội,9200000,17250000,full-time,any,1,university,"Mô tả chung: Vị trí Kế toán kho và thủ kho tại trường theo dõi các biến động tăng giảm của vật tư hàng hóa, VPP, Đồng phục, công cụ dụng cụ và tài sản cố định trong phạm vi trường mình quản lý và duy trì hệ thống sổ sách chứng từ có liên... Yêu cầu: Yêu cầu chung: • Hiểu rõ các chính sách, quy trình của công ty; • Hoàn thành nhanh chóng công việc được giao với hiệu quả cao • Đảm bảo tuân thủ các quy định của công ty,tuân thủ pháp luật • Góp phần xây dựng môi trường làm việc năng động, hiệu quả • Giải trình số liệu...",accounting,VietnamWorks_Algolia,https://www.vietnamworks.com/ke-toan-kho-thu-kho-2052451-jv,2026-05-26T12:56:58.521305
