id,title,company,skills,location,salary_min,salary_max,type,age_preference,experience_required,education_required,description,category,source,job_url,scraped_at
scraped_vietnamworks_algolia_00000,Quality Assurance Engineer (QA Engineer),Công Ty TNHH LG Display Việt Nam Hải Phòng,Teamwork|English|Korean|Chinese|Excel,Hải Phòng,7600000,14250000,full-time,any,0,university,"- Develop and implement quality control processes to ensure compliance with industry standards and customer specifications. - Follow Reliability test for Development/Mass production model perious, assure testing result on time and accurate inspection. - Analyze data from quality tests and inspections to identify trends and recommend improvements. - Collaborate with cross-functional teams to improve... Yêu cầu: - University graduate majoring in Engineering field - Able to communicate in English/Korean/Chinese - Proficiency in data analysis and statistical tools (Minitab, Excel, etc.). - Strong problem-solving skills and ability to work in a fast-paced environment. - Positive, active personality - Good teamwork - Willing to work OT and weekend holiday as required",other,VietnamWorks_Algolia,https://www.vietnamworks.com/viec-lam/quality-assurance-engineer-qa-engineer--2058714,2026-05-25T19:37:23.533696
scraped_vietnamworks_algolia_00001,Senior Consultant,Navigos Group,,Hồ Chí Minh,15000000,28000000,full-time,any,4,university,"KEY RESPONSIBILITIES 1. Search & Client Management • Responsible for delivering high quality service to clients and candidates; • Promote & build awareness of Navigos Search’s capabilities to an existing client or prospective client; • Work with client companies, find out about their business, their culture, their current and future recruitment needs, and to develop a loyal business... Yêu cầu: QUALIFICATIONS Graduates / post graduates of related disciplines EXPERIENCES Minimum three continuous years of experience in Headhunting OR Sales OR Internal HR COMPETENCIES/SKILLS • Individual with strong interpersonal communications skills (negotiations, conflict resolutions, presentations, etc.); • Results driven and focused on delivering profitable growth for the individual and for the business; • Established ability to deal with people of different backgrounds,...",other,VietnamWorks_Algolia,https://www.vietnamworks.com/viec-lam/senior-consultant-2058709,2026-05-25T19:37:23.537732
scraped_vietnamworks_algolia_00002,Kỹ Sư Kinh Tế Xây Dựng,Eurowindow Holding,Xây dựng,Hà Nội,9200000,17250000,full-time,any,3,high,"- Kiểm tra, lập tiên lượng mời thầu các gói thầu xây lắp. - Chấm thầu, lập giá gói thầu các gói thầu thi công xây lắp. - Kiểm tra, kiểm soát các hồ sơ thanh quyết toán về khối lượng, chất lượng và đơn giá các gói thầu thi công xây lắp. - Kiểm tra khối lượng, chất lượng và... Yêu cầu: - Tốt nghiệp Đại học chính quy trở lên chuyên ngành Kinh tế Xây dựng, Điện, Điện tử hoặc Chuyên ngành khác có liên quan. - Tối thiểu từ 3 năm kinh nghiệm làm việc trong lĩnh vực xây dựng. Có kinh nghiệm bóc khối lượng, làm dự toán. - Có kỹ năng về quản lí chi phí trong...",construction,VietnamWorks_Algolia,https://www.vietnamworks.com/viec-lam/ky-su-kinh-te-xay-dung-2033127,2026-05-25T19:37:23.540962
scraped_vietnamworks_algolia_00004,Head of Service Delivery,Vietnam Australia International School (Vas),Lái xe,Hồ Chí Minh,9600000,18000000,full-time,<40,3,university,"* About this job Head of Service Delivery is accountable for the end-to-end IT service experience across all campuses, ensuring reliable, high-quality, and user-centered services that directly support teaching, learning, and school operations. This role translates technology strategy into operational execution, owns service performance outcomes, and leads continuous improvement through data, governance, and strong... Yêu cầu: * KNOWLEDGE Qualification: Bachelor&#039;s degree or equivalent professional experience preferred. * EXPERIENCE Required - Demonstrated experience leading IT service delivery in a multi site environment - Strong understanding of IT support, service management, and operations - Experience in server and network infrastructure management - Proven ability to lead distributed teams. Proven ability to lead distributed teams Preferred - Experience operating...",driver,VietnamWorks_Algolia,https://www.vietnamworks.com/viec-lam/head-of-service-delivery-2048502,2026-05-25T19:37:23.546118
scraped_vietnamworks_algolia_00005,Business Development Associate (Nhân Viên Kinh Doanh – Khối Khách Hàng Cá Nhân & Quản Lý Tài Sản),HSBC Vietnam,Kinh doanh|Cơ khí|IT|Thẩm định,Hồ Chí Minh,9600000,18000000,full-time,any,0,high,"Please apply via this link: https://lnkd.in/gwmDU-Qw • Chủ động tìm kiếm và tiếp cận khách hàng để tư vấn và giới thiệu các sản phẩm tín dụng (Thẻ tín dụng, tài khoản lượng,…) • Thiết lập và duy trì mối quan hệ với khách hàng. Hỗ trợ tư vấn và giải đáp thắc mắc của khách hàng... Yêu cầu: • Tốt nghiệp Đại học / Cao Đẳng với 1 năm kinh nghiệm trong các lĩnh vực liên quan • Có khả năng làm việc độc lập và đa nhiệm, nắm bắt được nhu cầu của khách hàng. • Chịu được áp lực tốt về doanh số bán hàng • Khả năng quản lý thời gian tốt • Giao tiếp nhanh nhẹ. Giao...",skilled,VietnamWorks_Algolia,https://www.vietnamworks.com/viec-lam/business-development-associate-nhan-vien-kinh-doanh-khoi-khach-hang-ca-nhan-quan-ly-tai-san--2048766,2026-05-25T19:37:23.548708
scraped_vietnamworks_algolia_00006,Data & Analytics Supervisor,"Amway Vietnam Co., Ltd.",Xây dựng|IT,Hồ Chí Minh,9600000,18000000,full-time,any,5,university,"1. Business Performance Review and Analysis (90%) • Analyze and centralize product-related data to build a clear and consistent view of portfolio performance (by category, SKU, promotion, etc.) • Develop and improve data extraction, transformation, and reporting processes to support product performance tracking and ad-hoc business requests • Deliver periodic reports and presentation decks that provide actionable insights on product... Yêu cầu: • A degree of Economics/ Data Science/ Business-related Major • Minimum 5 years of experience in business analytics, preferably with focus on product, portfolio, or category performance analysis • Strong experience working with databases and data systems to extract, transform, and analyze data into actionable insights • Proven ability to translate data into clear business implications and recommendations, especially related to...",construction,VietnamWorks_Algolia,https://www.vietnamworks.com/viec-lam/data-analytics-supervisor--2048767,2026-05-25T19:37:23.551367
scraped_vietnamworks_algolia_00007,Chuyên Gia Quản Lý Dự Án - Khối Chiến Lược,Ngân Hàng TMCP Đại Chúng Việt Nam,,Hà Nội,9200000,17250000,full-time,any,0,high,"Chịu trách nhiệm thực hiện các công việc về quản lý dự án bao gồm: Nhiệm vụ chuyên môn: 1. Giám sát tiến độ & quản lý chất lượng triển khai - Hỗ trợ giám đốc dự án lập kế hoạch và giám sát, quản lý dự án bao gồm quản lý kế hoạch triển... Yêu cầu: - Bằng cấp: Tốt nghiệp đại học các trường thuộc khối kinh tế (Tài chính, Ngân hàng, Kinh tế, quản trị kinh doanh…) hoặc đại học các trường công nghệ thông tin Ưu tiên có chứng chỉ PMP hoặc các chứng chỉ quản lý dự án tương đương - Kiến thức chuyên môn: Hiểu biết về...",other,VietnamWorks_Algolia,https://www.vietnamworks.com/viec-lam/chuyen-gia-quan-ly-du-an-khoi-chien-luoc-1998634,2026-05-25T19:37:23.554448
scraped_vietnamworks_algolia_00008,Chuyên Gia Định Chế Tài Chính - Phòng Định Chế Tài Chính - Khối Nguồn Vốn và Thị Trường Tài Chính,Ngân Hàng TMCP Đại Chúng Việt Nam,Kế toán|Tài chính,Hà Nội,9200000,17250000,full-time,any,0,university,"Nhiệm vụ chính: - Tổ chức, triển khai thúc đẩy các hoạt động hợp tác, phát triển các mối quan hệ kinh doanh, giao dịch TTTM với các định chế tài chính nước ngoài. - Xây dựng kế hoạnh, tổ chức tìm kiếm, thiết lập và mở rộng hạn mức, khoản vay, thu xếp vốn…... Yêu cầu: Kiến thức chuyên môn và kinh nghiệm - Tốt nghiệp Đại học chuyên ngành kinh tế, tài chính, ngân hàng - Tiếng Anh: sử dụng thành thạo Tiếng Anh; có thể đàm phán, làm việc trực tiếp với các đối tác nước ngoài bằng Tiếng Anh - Có kỹ năng giao tiếp tốt - Có tối thiểu từ...",accounting,VietnamWorks_Algolia,https://www.vietnamworks.com/viec-lam/chuyen-gia-dinh-che-tai-chinh-phong-dinh-che-tai-chinh-khoi-nguon-von-va-thi-truong-tai-chinh-2033131,2026-05-25T19:37:23.557788
scraped_vietnamworks_algolia_00010,Technical Sales (Testing Service),"Helmsman Quality & Technology Services Co., Ltd.",Kinh doanh,Hồ Chí Minh,9600000,18000000,full-time,any,1,university,"I. JOB RESPONSIBILITIES • Actively and independently develop executive-level relationships and grow a profitable client portfolio through lead generation, qualification, consultation, negotiation, and closing. • Be accountable for handling the full end-to-end sales cycle, from pre-sales to post-sales processes, including customer visits, presentations, tenders, quotations, proposals, delivery, and invoicing in a timely manner. • Achieve quarterly and... Yêu cầu: • Bachelor degree holder. Major in Engineering, Chemistry, or a related technical field is preferred • Senior Testing Sales: 3-5 years’ experience, ideally within the Testing, Inspection, and Certification (TIC) industry, or working in manufacturing industry. • Junior Testing Sales: 1-2 years’ experience, ideally within the Testing, Inspection, and Certification...",sales,VietnamWorks_Algolia,https://www.vietnamworks.com/viec-lam/technical-sales-testing-service-2047916,2026-05-25T19:37:23.562765
scraped_vietnamworks_algolia_00011,Giám Đốc BQL Vận Hành Khách Sạn - Cán Bộ Nguồn,Công Ty Cổ Phần Vinhomes,Cơ khí|Phục vụ|Kho vận,Quảng Ninh,8000000,15000000,full-time,any,5,university,"- Quản lý vận hành khu Khách sạn thuộc phạm vi được phân công (bao gồm quản trị hệ thống, vận hành, lập kế hoạch, lập ngân sách, quản lý nhân sự tại tất cả các mảng dịch vụ); - Thực hiện rà soát, đánh giá công tác quản trị rủi ro trong công tác... Yêu cầu: - Tốt nghiệp Đại học trở lên (Quản trị Khách sạn/Du lịch/Kinh tế…). - Tối thiểu 05 năm kinh nghiệm ngành khách sạn, ít nhất 3 năm ở vị trí quản lý cấp cao (GM/AGM). - Am hiểu vận hành khách sạn 5 sao, quản trị tài chính và dịch vụ cao cấp. - Kỹ năng lãnh...",skilled,VietnamWorks_Algolia,https://www.vietnamworks.com/viec-lam/giam-doc-bql-van-hanh-khach-san-can-bo-nguon-2052026,2026-05-25T19:37:23.564608
