id,userId,data_source,exported_at,age,gender,province,education,marital_status,experience_years,employment_status,target_job,target_salary,target_province,preferred_job_type,skills,skills_count,barrier_health,barrier_family,barrier_techGap,barrier_location,barrier_other,total_barriers,current_step,is_completed,created_at,updated_at
mock_0001,mock_user_0001,mock_script,2026-04-10T18:44:28.084595,45,female,Hải Dương,primary,single,7.3,retired,Bảo vệ,4593860,Thái Bình,part-time,sơn sửa nhà,1,0,0,0,0,0,0,4,True,2026-04-10T18:44:28.084606,2026-04-10T18:44:28.084608
mock_0002,mock_user_0002,mock_script,2026-04-10T18:44:28.084647,52,female,Hà Nam,university,divorced,29.7,unemployed,Nhân viên phục vụ,27448851,Bình Dương,full-time,đọc bản đồ|lái xe|chăm sóc người già,3,1,0,0,0,0,1,4,True,2026-04-10T18:44:28.084655,2026-04-10T18:44:28.084656
mock_0003,mock_user_0003,mock_script,2026-04-10T18:44:28.084678,51,male,Qui Nhơn,middle,divorced,30.5,employed,Kế toán / Hành chính,17484500,Thái Nguyên,full-time,lái xe|xây dựng|đọc bản đồ,3,0,0,0,1,0,1,4,True,2026-04-10T18:44:28.084681,2026-04-10T18:44:28.084682
mock_0004,mock_user_0004,mock_script,2026-04-10T18:44:28.084698,46,female,Đắk Lắk,primary,married,9.6,employed,Công nhân sản xuất,7119596,Thái Nguyên,part-time,xây dựng,1,0,0,0,1,0,1,4,True,2026-04-10T18:44:28.084703,2026-04-10T18:44:28.084704
mock_0005,mock_user_0005,mock_script,2026-04-10T18:44:28.084721,50,male,Cần Thơ,high,married,20.1,employed,Kế toán / Hành chính,11811511,Hải Dương,part-time,đọc bản vẽ|giặt ủi|sử dụng máy nông nghiệp|xây dựng,4,0,1,0,0,0,1,4,True,2026-04-10T18:44:28.084724,2026-04-10T18:44:28.084725
mock_0006,mock_user_0006,mock_script,2026-04-10T18:44:28.084743,37,female,Vũng Tàu,high,married,7.3,self-employed,Bảo vệ,7609674,Bình Dương,freelance,bảo dưỡng xe,1,0,0,1,0,0,1,4,True,2026-04-10T18:44:28.084745,2026-04-10T18:44:28.084746
mock_0007,mock_user_0007,mock_script,2026-04-10T18:44:28.084760,52,male,Bình Dương,college,divorced,33.4,retired,Bảo vệ,21734093,Nghệ An,freelance,kho vận|sử dụng máy nông nghiệp,2,0,0,0,0,1,1,4,True,2026-04-10T18:44:28.084762,2026-04-10T18:44:28.084763
mock_0008,mock_user_0008,mock_script,2026-04-10T18:44:28.084778,45,male,Vĩnh Phúc,middle,divorced,22.7,employed,Kế toán / Hành chính,10774485,Nha Trang,freelance,thu ngân|pha chế|giao hàng|đóng gói,4,0,1,0,0,0,1,4,True,2026-04-10T18:44:28.084780,2026-04-10T18:44:28.084781
mock_0009,mock_user_0009,mock_script,2026-04-10T18:44:28.084804,58,female,Cần Thơ,high,widowed,26.2,retired,Giúp việc / Dịh vụ,13292326,Nghệ An,full-time,đọc bản vẽ,1,0,0,1,0,1,2,4,True,2026-04-10T18:44:28.084807,2026-04-10T18:44:28.084808
mock_0010,mock_user_0010,mock_script,2026-04-10T18:44:28.084824,35,female,Bình Dương,none,married,11.4,employed,Thợ lành nghề,7157783,Hải Dương,freelance,trộn vữa|đóng gói|bảo vệ|điện nước,4,1,0,0,0,0,1,4,True,2026-04-10T18:44:28.084827,2026-04-10T18:44:28.084828
mock_0011,mock_user_0011,mock_script,2026-04-10T18:44:28.084842,36,male,Đà Lạt,college,married,2.0,employed,Bảo vệ,4192297,Thanh Hóa,full-time,trộn vữa|thu ngân|giao tiếp|bartender,4,1,0,0,1,1,3,4,True,2026-04-10T18:44:28.084846,2026-04-10T18:44:28.084847
mock_0012,mock_user_0012,mock_script,2026-04-10T18:44:28.084862,58,male,Đà Lạt,high,married,26.8,employed,Nông dân / Nông nghiệp,14859732,Hải Phòng,freelance,trang trí món ăn|pccc|bartender|lắp ráp,4,0,0,0,0,0,0,4,True,2026-04-10T18:44:28.084865,2026-04-10T18:44:28.084866
mock_0013,mock_user_0013,mock_script,2026-04-10T18:44:28.084878,55,male,Đà Lạt,high,married,26.7,employed,Bảo vệ,13528129,Thái Bình,freelance,trộn vữa,1,0,0,0,0,1,1,4,True,2026-04-10T18:44:28.084880,2026-04-10T18:44:28.084881
mock_0014,mock_user_0014,mock_script,2026-04-10T18:44:28.084896,44,female,Lâm Đồng,middle,divorced,18.7,employed,Lao động xây dựng,11761896,Vũng Tàu,full-time,chăn nuôi|thu ngân|bán hàng|vận hành máy móc,4,0,0,1,0,0,1,4,True,2026-04-10T18:44:28.084898,2026-04-10T18:44:28.084899
mock_0015,mock_user_0015,mock_script,2026-04-10T18:44:28.084912,40,female,Quảng Nam,primary,married,9.6,unemployed,Lao động xây dựng,7444429,Qui Nhơn,freelance,bartender,1,0,0,0,1,0,1,4,True,2026-04-10T18:44:28.084915,2026-04-10T18:44:28.084916
mock_0016,mock_user_0016,mock_script,2026-04-10T18:44:28.084927,43,male,Thái Nguyên,middle,married,10.5,unemployed,Lao động xây dựng,8628849,Biên Hòa,full-time,lái xe,1,0,0,1,0,0,1,4,True,2026-04-10T18:44:28.084930,2026-04-10T18:44:28.084931
mock_0017,mock_user_0017,mock_script,2026-04-10T18:44:28.084945,57,female,Vinh,vocational,married,17.2,employed,Pha chế,14467772,Hà Tĩnh,part-time,pccc|giao hàng,2,1,0,0,0,1,2,4,True,2026-04-10T18:44:28.084950,2026-04-10T18:44:28.084951
mock_0018,mock_user_0018,mock_script,2026-04-10T18:44:28.084965,48,female,Đà Lạt,middle,married,16.9,unemployed,Thợ lành nghề,12267921,Đắk Lắk,freelance,bảo vệ|chăm sóc khách hàng,2,0,0,0,0,0,0,4,True,2026-04-10T18:44:28.084967,2026-04-10T18:44:28.084968
mock_0019,mock_user_0019,mock_script,2026-04-10T18:44:28.084981,58,male,Vũng Tàu,university,married,37.2,retired,Kế toán / Hành chính,27634125,Lâm Đồng,temporary,xây dựng|chăm sóc khách hàng|điện nước,3,0,0,1,0,0,1,4,True,2026-04-10T18:44:28.084984,2026-04-10T18:44:28.084985
mock_0020,mock_user_0020,mock_script,2026-04-10T18:44:28.085001,53,male,Bình Dương,none,single,16.9,self-employed,Lao động xây dựng,8920241,Nam Định,full-time,pccc|sửa chữa|kiểm tra chất lượng,3,1,0,1,1,0,3,4,True,2026-04-10T18:44:28.085005,2026-04-10T18:44:28.085006
mock_0021,mock_user_0021,mock_script,2026-04-10T18:44:28.085023,53,female,Lâm Đồng,college,married,21.0,employed,Công nhân sản xuất,17258750,Hà Nội,part-time,vệ sinh an toàn thực phẩm,1,0,0,0,0,0,0,4,True,2026-04-10T18:44:28.085025,2026-04-10T18:44:28.085026
mock_0022,mock_user_0022,mock_script,2026-04-10T18:44:28.085039,41,female,TP. Hồ Chí Minh,primary,married,9.9,retired,Lao động xây dựng,7529906,TP. Hồ Chí Minh,full-time,vận hành máy móc|giao tiếp|sơn sửa nhà,3,0,0,0,0,0,0,4,True,2026-04-10T18:44:28.085042,2026-04-10T18:44:28.085043
mock_0023,mock_user_0023,mock_script,2026-04-10T18:44:28.085056,44,male,Đắk Lắk,university,widowed,18.8,employed,Kế toán / Hành chính,14474744,Hà Tĩnh,full-time,làm việc nhóm|thu ngân|vận hành máy móc|bảo vệ,4,0,0,0,0,0,0,4,True,2026-04-10T18:44:28.085059,2026-04-10T18:44:28.085060
